;Tiempo (µs);;;;;;;;;;;;;;
;MM_clasico;;;;;;;;;;;;;;
Tamaño Matriz;100;;;250;;;500;;;1000;;;2000;;
Numero Hilos;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4
Medida 1;494331;203076;955650;489636;992752;1009612;1783518;1705372;998406;16892924;11898126;8996146;101263342;122595509;216957132
Medida 2;497452;206249;960411;685347;1183826;105290;2082941;1886453;811794;16723642;9881458;9912482;108986972;123995126;210009489
Medida 3;500537;209331;965139;878828;383159;208605;1411619;2188544;1616077;16399947;10019410;9209456;109346185;123797957;204650993
Medida 4;504313;212515;969646;984633;493626;303556;1791773;992363;1496480;16198186;9125806;9393780;105793048;127077844;209727849
Medida 5;581257;215793;974099;1178317;599206;407620;2093805;1915124;1384848;15800341;9880945;9097795;105377521;120784461;209648719
Medida 6;585793;277585;978520;288078;704199;503952;1386898;1791360;1279429;16779006;11183207;8101492;108883990;116580513;215933045
Medida 7;590928;281091;983026;485027;877322;679413;1777636;1600341;1087406;16692041;11587882;8312056;101472595;125963798;204651019
Medida 8;594314;284419;987486;680359;986169;779263;2081829;1498315;978224;16783997;9524761;9200020;110252376;117785430;209727906
Medida 9;598040;287565;991886;789106;1081713;878970;1388893;1302422;1817557;16487214;10593445;9103170;106176534;132759687;209648641
Medida 10;601336;290838;996455;982397;185783;926232;1696154;1193521;1684351;15883487;10007078;9916867;103758365;137391980;205933128
Medida 11;604578;294126;1001097;1087345;287693;1022923;1991524;1092013;1522573;16605916;9685262;10578931;104350465;114185410;204650981
Medida 12;677348;298841;5764;284629;394952;120489;2298342;896697;1379706;16381240;10789093;9316987;111248765;120180950;209727931
Medida 13;681037;302253;10870;390905;496877;221893;1693273;1882749;1282000;16787063;10882659;9415091;105271484;115204866;209648667
Medida 14;684407;305779;15846;582969;596556;323483;1996929;1700347;1186034;16789951;11685635;9311495;104775975;110870952;215933118
Medida 15;687835;309074;20734;692302;695712;418565;1496252;1792659;1018924;16394110;9882962;9096489;106649524;122405708;215954529
Medida 16;690935;377589;25535;884834;797254;513424;1784227;1606588;881919;15319167;9398263;9025034;106885972;123358069;209954487
Medida 17;693974;381239;77592;1077249;895324;621223;2081571;1591738;1787061;16105084;10288542;9911338;103886362;120487402;216957024
Medida 18;697173;384456;83405;184954;999836;714054;1397067;1778546;1593581;15998978;10377963;9989161;102846857;116471800;210009488
Medida 19;777330;387596;88359;377260;98696;813808;1783047;1985260;1402690;15693475;9580028;8894271;108875870;125574278;204651015
Medida 20;780875;390709;93097;486195;282519;908633;1998234;2187460;1277556;16693774;11003169;9790162;109486311;122160137;209727896
Medida 21;783925;394042;97644;682109;381717;1007850;1381696;1215859;1085274;16396836;10809455;9713278;101263337;124784045;209648649
Medida 22;786950;397169;102215;787789;480582;105100;1601644;1308648;984073;16379118;10087175;9789249;108986977;148191116;215933094
Medida 23;790540;400255;106762;984793;584324;213569;1987360;1386921;1808338;15800577;9509389;9906313;109346180;145371791;215954540
Medida 24;794150;403353;111276;1178069;688866;308641;2290862;1479340;1615102;16086139;10892483;10794319;105793043;122595515;209954596
Medida 25;797329;406614;115943;283016;879686;407380;1609257;1290910;1417603;15001927;10800718;9895022;105377526;120784455;216957065
Medida 26;877683;477307;181142;478243;982066;504266;1985888;1392549;1218454;15193344;10624901;9993295;108883995;123797953;210009515
Medida 27;884625;480879;185907;591316;1081256;604468;2380171;1390709;1216931;15197247;11384207;8708164;101472600;125574280;204650962
Medida 28;888648;484223;190376;783687;179429;705979;1697785;1400102;1186410;15196880;9591529;9512278;110252371;124784048;209727880
Medida 29;892954;487382;195020;977248;284774;801857;2084968;1298651;1082622;14907921;9782739;9385487;106176539;115204862;206957022
Medida 30;897096;490541;199626;1085108;387843;901160;1396697;1384006;897128;15585787;10319477;9789009;103758360;120487400;200009446
Promedio;697256,4333;344062,9667;422350,9333;710724,9333;632123,9;568042,6;1814395,333;1537852,233;1299951,7;16105177,3;10369258,9;9468621,233;106229981,4;123706911,4;210130194,2
