;Tiempo (µs);;;;;;;;;;;;;;;;;
;MM_clasico;;;;;;;;;;;;;;;;;
Tamaño Matriz;100;;;250;;;500;;;1000;;;2000;;;5000;;
Numero Hilos;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4
Medida 1;781266;74912;285588;1083745;585415;1006077;1322029;1328031;292305;10484218;5129887;2912583;104040733;53360549;28038324;2052712977;1070722550;504830890
Medida 2;789955;82572;291948;172244;632829;29243;1219749;885026;477143;10378473;4999292;3113230;100529884;52936172;27949917;2052704478;1044497289;503117487
Medida 3;799216;90285;298036;247931;675875;55122;1009796;1327758;671379;10128866;4824705;2422727;101878698;51685498;28044981;2052714331;1170722334;514830876
Medida 4;810906;97105;303515;331022;721577;83229;760007;736816;873916;10286062;6070473;2700155;98803439;52371940;30653126;2052710679;1044497467;503117502
Medida 5;820371;103754;308801;410201;762298;110436;1503377;1103825;1044388;9927027;5179959;3019168;102458601;54113548;29016281;2052708225;1199932864;504830870
Medida 6;830137;110775;316117;516146;815877;136534;1358398;442725;250028;10244663;5314150;2387934;104625747;55752312;27127607;2052712654;1044497176;513117532
Medida 7;840155;118481;324220;599732;861145;162242;1261787;861597;472060;9930725;4896533;2632436;101153141;59953040;30957651;2052707345;1165753963;514830867
Medida 8;850355;124749;330606;680563;908133;188709;1285175;1219178;664755;10968726;5631821;2793558;101736774;69919004;25531490;2052704166;1058729901;503117473
Medida 9;861087;131661;336257;753608;952269;216616;1274710;576832;844537;11276702;5637261;3083001;101582012;55186125;25398011;2052709809;1113180129;514830906
Medida 10;869663;138700;342882;846759;1005771;245908;1359466;971397;1022983;10413226;5484121;2229860;104884707;54398399;26092593;2052713361;1044497452;503117511
Medida 11;879860;145819;348596;919034;55561;271219;1116177;1343247;195599;10637984;4947770;2488153;104337377;53462098;24265238;2052711610;1169246983;504830905
Medida 12;888922;152244;354704;993370;100277;296962;955271;746661;385091;10246402;5575014;2675283;102554931;52801861;24740644;2052711225;1053118846;513117498
Medida 13;897510;159102;361300;1073415;153626;322056;1823234;1120874;593236;9970741;5308924;2841311;102958541;53883958;25518013;2052706798;1096641267;504830922
Medida 14;906441;165826;368267;153844;208291;348274;1671603;495317;789936;10652485;5049258;3099349;99477798;52289008;24582486;2052709970;1066501031;503117479
Medida 15;916685;172599;376485;235391;253853;372365;1428001;851756;979526;10817774;4935681;2129488;101128668;52133600;26693672;2052708065;1060302615;504830877
Medida 16;926474;179169;384993;317612;304703;400519;1128264;1298046;1214081;10903072;5737500;2272837;99033475;52751759;25914591;2052709839;1072416242;503117484
Medida 17;936277;186137;391107;397376;350271;429175;974561;766013;420421;10900911;5756491;2558642;104040700;53103351;26026030;2052709390;1059154412;514830923
Medida 18;945775;192779;397895;484847;398483;460807;1801943;1110014;605334;10828741;6223489;2704392;100529900;54190625;25744567;2052708228;1062390975;503117500
Medida 19;956093;199252;405775;569260;457500;489891;1668814;459925;769103;10704764;5749181;3072606;101878600;50989302;22460227;2052707213;1093469547;504830895
Medida 20;966875;206609;413967;654607;508964;525663;1829562;866860;946148;11141049;6169623;2224026;98803500;54616326;23692598;2052711293;1091938306;513117507
Medida 21;978318;213584;419838;748721;561796;557297;1912680;1205277;1132017;10248752;5431268;2512542;102458600;57969228;31851608;2052712292;1051915174;504830921
Medida 22;987199;219974;427123;840039;615644;590336;2157429;780511;332063;10073095;5843958;2639172;104625700;57522503;28612148;2052713703;1114790347;503117497
Medida 23;997916;226271;435767;919373;659560;625374;1555638;1177913;561635;9718710;5709590;2884968;101153100;56532040;25977734;2052709151;1161909446;504830891
Medida 24;7682;233281;442284;996632;706685;660184;1879128;639285;723759;10083633;5113819;3365981;101736800;57764434;23664880;2052709557;1164800065;513117520
Medida 25;17777;240701;447774;105121;753685;693678;1950473;1025035;884976;10378534;4619312;2660599;101582000;58591165;25266722;2052710846;1077234749;514830901
Medida 26;29001;248666;456236;178832;798904;728017;2293427;532084;1046839;10080685;5427672;2999769;104884700;57052908;24803099;2052706181;1074117346;503117483
Medida 27;38539;255858;465520;251708;849469;760720;1301281;1000678;209946;9896307;5470242;2288373;104337400;54531592;25044849;2052711711;1100361780;514830912
Medida 28;48272;263554;473783;332384;893689;796036;1706452;398233;415757;11038231;5499505;2759066;102554900;58128418;22980171;2052712536;1151730146;503117515
Medida 29;57159;270745;479822;413312;936121;825591;1840949;788256;603252;10100255;5403324;3207230;102958600;59346028;24862500;2052710214;1093800904;504830885
Medida 30;67468;278464;486862;513033;981038;854423;1879150;1127605;796933;10214774;5564832;2555999;976831340;52364269;26156212;2052709809;1185536545;513117496
Promedio;690111,8;176120,9333;382535,6;557995,4;615643,6333;441423,4333;1507617,7;906225,8333;673971,5333;10422519,57;5423488,5;2707814,6;131318678,9;55323368,67;26255599;2052709922;1098613595;507640864,2
