;MM_transpuesta;;;;;;;;;;;;;;;;;;;;;;;
;Tiempo (µs);;;;;;;;;;;;;;;;;;;;;;;
Tamaño Matriz;100;;;;250;;;;500;;;;1000;;;;2000;;;;5000;;;
Numero Hilos;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8;1;2;4;8
Medida 1;4976;230150;457411;668094;932794;650598;330533;70722;912185;221365;445312;659893;1839338;1784617;1545154;1756392;10064000;10128428;11065894;10983303;176923747;156832926;163018340;166143014
Medida 2;11199;248776;464459;674096;958626;664585;372632;118642;1045335;342978;627749;849924;1912776;1972715;1656736;1851978;9535092;10250471;10919307;10969474;179027497;153081861;203724703;174485717
Medida 3;22343;259971;479692;680193;988829;678863;391451;130771;193356;460283;733117;970745;1969275;2063822;1773707;1992104;10120683;10414350;10534071;10661304;176923617;156833006;163018415;166142968
Medida 4;29830;269457;503033;689470;1013729;724979;409301;145198;350505;624227;859483;138067;2072271;1395035;1949447;1126922;9504924;10783326;11160952;11507456;179027367;153082002;203724605;174485839
Medida 5;36340;278027;512485;696882;40846;741009;430025;164844;509853;767487;1027312;255628;1111173;1706736;2091971;1254955;13498079;10957444;10946937;11476074;176923557;156832876;163018269;166143102
Medida 6;41443;285194;517818;719414;61841;761320;449812;182548;645488;869810;136068;434266;1459583;1839373;1290028;1338220;11005378;9921867;10893732;12026397;179027437;153081921;203724801;174485600
Medida 7;48557;291492;524113;725326;82895;775165;465989;228438;790145;1043375;248725;556904;1673864;1998972;1390872;1465285;9901055;10161301;11988537;11515407;176923587;156832886;163018426;166143014
Medida 8;54463;298809;530975;732259;109436;823380;480117;249063;957333;146707;438188;729945;1712357;1067077;1547957;1641982;10645274;12575998;11133607;11349378;179027467;153081992;203724768;174485717
Medida 9;59864;307835;536384;738993;132097;838683;520106;263772;1116907;304108;543204;837538;1745446;1196586;1654254;1762480;10441632;13831040;10797358;11159763;176923757;156832972;163018392;166142917
Medida 10;65713;315022;541171;746296;156198;855785;535531;275066;308437;458311;733700;1017662;1778849;1248246;1728713;1862185;10467747;14454945;11553645;10903261;179027327;153081791;203724699;174485638
Medida 11;71256;320550;545291;751872;178086;870841;547370;320823;441466;552643;842615;143568;1961941;1348892;1816977;1951560;10460972;14318474;11147131;11725420;176923517;156833056;163018269;166142995
Medida 12;84979;328322;550174;758916;197299;883865;559792;345522;570518;726724;1022748;245795;2084829;1389241;1859011;1065253;10422107;14135220;10754695;11996721;179027567;153082001;203724683;174485799
Medida 13;97311;335257;555952;770914;225793;934272;620876;356911;704754;842447;131488;424717;1185021;1474668;1964136;1160959;9766328;13031591;12347711;11523823;176923627;156832819;163018413;166143063
Medida 14;109343;345285;561869;778091;253433;955105;642299;370764;868982;955685;243646;561290;1266065;1565159;1075950;1318208;10218503;12797246;12583550;11767758;179027397;153081827;203724704;174485661
Medida 15;121348;351794;567485;787443;274707;971949;681629;419154;1007935;1124845;442742;719907;1328059;1688067;1215723;1456680;10322482;13826129;11386334;12117453;176923647;156832971;163018348;166142934
Medida 16;126617;357952;573211;792281;294833;987656;709164;433490;167266;240925;549081;844607;1421831;1756557;1301855;1558042;11665283;13235843;11168207;11193065;179027397;153081917;203724631;174485763
Medida 17;132152;363625;580135;817131;313896;1020606;724834;447572;330757;365206;648992;942080;1567571;1920355;1366111;1661804;10649488;14437185;10883865;11423592;176923627;156832965;163018391;166143098
Medida 18;144491;369010;588385;822650;333980;36253;740366;466372;469897;530549;828661;1126519;1627124;1977803;1540183;1824202;11269152;14166554;11589856;11847013;179027547;153081876;203724673;174485772
Medida 19;155408;374438;593047;831031;356694;50111;757498;481821;602939;650218;950763;235040;1691530;1042675;1638272;1956015;10106106;10507893;11658966;11669005;176923627;156832987;163018284;166142971
Medida 20;163039;379812;596941;836579;379425;74384;769856;522793;730440;846231;1122706;346721;1749992;1087260;1739143;2045019;10674524;12051561;11138588;11554354;179027407;153081945;203724657;174485628
Medida 21;172005;387732;604634;842975;406501;91848;817859;534759;861215;961836;238758;537645;1798544;1249111;1796852;1150235;10756808;10258618;10806680;11743690;176923667;156833041;163018409;166143003
Medida 22;178484;395113;611174;852758;427527;130111;829539;554448;1003780;1127306;353582;655032;1867381;1626293;1851345;1248046;10861274;10695876;11647744;11524733;179027307;153081871;203724757;174485792
Medida 23;184582;400262;617299;859834;448557;158195;851857;572100;134682;279020;522482;824703;1951206;1669941;1989377;1405908;10908168;10620346;11444084;11358769;176923537;156832927;163018425;166142965
Medida 24;190278;416391;623569;867613;484243;187775;874351;638810;283361;449325;666983;956624;2026911;1747394;1120657;1537706;9785749;10625039;10932138;11278665;179027507;153081932;203724674;174485632
