;Tiempo (µs);;;;;;;;;;;;;;
;MM_transpuesta;;;;;;;;;;;;;;
Tamaño Matriz;100;;;250;;;500;;;1000;;;2000;;
Numero Hilos;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4
Medida 1;281807;560029;873286;377199;260468;371449;977437;1060533;1068015;5863482;7265703;8265003;48791346;53389361;66192918
Medida 2;286449;563967;876358;470647;357224;562662;1700285;764187;1069838;6593177;6656107;8087986;49796446;55496193;65768413
Medida 3;291459;567620;879286;568913;457460;664759;1402240;1570039;1069811;6397222;6688993;8372354;49255866;53007162;66999391
Medida 4;296334;571017;882466;667009;556035;774244;1174020;1272966;1076935;6185425;6566233;8484924;48776963;52876902;66065114
Medida 5;301198;574421;955700;762045;580751;960071;887263;1058389;1159520;6159178;6865438;8864122;49005311;50184000;64999058
Medida 6;306121;578026;959305;859840;677571;1061662;1598099;770726;1169903;6156036;7063107;8998143;48788003;52799705;65473202
Medida 7;310805;581248;962404;955926;774638;258178;1489368;1674329;1166958;5976570;6271103;8170397;48176720;51855953;65588319
Medida 8;316083;655968;965577;1056224;875589;363097;1198766;1463664;1169768;6971969;6790688;8264381;49057803;51974273;66377279
Medida 9;321285;659633;968639;158813;981956;467212;965397;1172739;1373758;6890981;7960879;8370277;48165697;51777127;66460891
Medida 10;355907;663301;971839;255908;1077527;658408;1666869;873707;1372661;6762303;7395481;8583649;47597665;50360756;66767185
Medida 11;360846;666854;974856;303519;260996;760714;1393149;1667669;1461952;6656699;6462150;8679110;48597837;50868084;66555973
Medida 12;365740;670065;1055673;402261;357505;863004;1158003;1375002;1455770;6377881;6687468;8782715;48284511;55106579;65374808
Medida 13;370500;673766;61988;499322;458513;974854;867910;1170592;1378411;6267323;7773143;9063786;47960815;51273605;65989516
Medida 14;375417;677430;65323;598312;559322;1159021;1573727;963406;1460421;6160330;7180340;8370037;48278042;51583067;66071514
Medida 15;380233;680762;68713;704927;660278;268469;1275833;1666374;1475584;6087828;6469589;8663547;49686546;52586721;66197125
Medida 16;384911;684175;72034;801775;757162;366126;990381;1384109;1566615;6379441;6869886;8764427;58791321;51758241;75192945
Medida 17;389465;755643;75123;896251;857667;470280;1798097;1366903;1561105;6303069;7066725;8782126;59796468;52270649;75768423
Medida 18;394147;759290;78421;990304;964474;660192;1496101;1172289;1564303;6286390;6482902;9057671;58255854;52487085;74999400
Medida 19;398838;762647;155671;1087391;1066369;767070;1265007;967256;1566925;6179873;6881325;8171712;58776817;55867674;76065127
Medida 20;403515;765923;159714;180942;163606;956185;972364;1863919;1571099;5955888;7069523;8268462;59005367;51581854;63999079
Medida 21;460157;770428;163559;278558;263929;1061186;1768429;1772758;1659680;6756649;6076087;8466465;58788091;53478904;75473286
Medida 22;465185;776029;167467;373693;361507;167706;1485172;1563403;1663336;6682518;6696778;8607718;58176762;51987226;65588450
Medida 23;470112;790205;170785;471432;462615;357967;1273771;1285303;1669077;6375658;6980426;8757274;59057963;63389287;75377315
Medida 24;475087;797204;174173;570127;562381;459726;974370;1163623;1668688;6160524;5960698;8863285;58165762;55496249;66460803
Medida 25;480395;800693;177231;679054;668916;566781;1696618;1077901;1760069;6095911;6757821;8872887;57597673;53007056;75767113
Medida 26;485292;804660;255927;776618;770805;756796;1402205;855928;1863209;5957741;6973625;8957848;58597876;52877055;76555923
Medida 27;490058;858397;259362;874125;883808;861529;1157163;1575659;1866141;6778495;7168912;9071287;58284526;60183915;74374827
Medida 28;496653;863459;262919;972915;1062891;964945;858703;1279916;1866075;6876117;5890931;8488709;57960826;52799665;66989568
Medida 29;501945;866847;266364;1067886;164466;1157183;1562459;1180276;2060872;6758166;7465869;8660008;58278086;51856063;66071947
Medida 30;555928;870106;269921;166454;270344;259478;1273452;1072011;1067279;6597121;6670718;8776731;59686521;61974281;65197110
Promedio;392395,7333;708993,7667;474336,1333;627613;605892,4333;666698,4667;1310088,6;1270185,867;1463459,267;6388332,167;6836954,933;8619568,033;53647982,8;53538489,73;68825400,73
